Iter,dP,du,dv
1,0.387266,0.221257,0.219524
2,0.320727,0.164049,0.165926
3,0.219587,0.185422,0.160193
4,0.1906,0.185857,0.159285
5,0.170667,0.180903,0.14151
6,0.166247,0.142302,0.112369
7,0.153037,0.0911263,0.0985292
8,0.122796,0.0703287,0.0930127
9,0.0928838,0.0777439,0.080424
10,0.0747375,0.0800927,0.0658148
11,0.0684524,0.0719882,0.0531768
12,0.0702064,0.0573339,0.0430287
13,0.0701963,0.0425121,0.038546
14,0.061246,0.0348287,0.0408263
15,0.0459475,0.0353618,0.0432396
16,0.0338961,0.0368728,0.0416395
17,0.0333807,0.0345987,0.0365337
18,0.0375452,0.0288948,0.0303086
19,0.0377322,0.0241659,0.0249598
20,0.0323598,0.0237636,0.0215009
21,0.0241603,0.0246497,0.020097
22,0.0187838,0.0230381,0.019432
23,0.0198069,0.0183404,0.0180487
24,0.0222997,0.0124224,0.0159151
25,0.0217503,0.00939745,0.0140111
26,0.0177379,0.0113471,0.0129385
27,0.0126422,0.0136466,0.0122298
28,0.0109967,0.0136526,0.0111954
29,0.0136244,0.0112556,0.0097905
30,0.0159271,0.00767622,0.0086431
31,0.0155682,0.00566025,0.00838573
32,0.0124544,0.00711545,0.00877813
33,0.00766847,0.00906199,0.00904764
34,0.0034838,0.00971551,0.00873848
35,0.00477186,0.00899544,0.00786213
36,0.00766825,0.00752169,0.00671904
37,0.00919862,0.00623117,0.00570261
38,0.00923417,0.00584118,0.00511606
39,0.00818727,0.00612569,0.00501977
40,0.00664292,0.00637823,0.00524285
41,0.00521917,0.00622443,0.00554872
42,0.00447091,0.00565396,0.00574072
43,0.00454907,0.0048559,0.00568596
44,0.00502577,0.00411398,0.00533063
45,0.00542734,0.00369061,0.00472118
46,0.00551376,0.00363256,0.00402107
47,0.0052228,0.00372749,0.00349757
48,0.00461232,0.00373121,0.00338191
49,0.00383514,0.00352357,0.00361976
50,0.00311361,0.00312085,0.00393502
51,0.00266681,0.00265849,0.00410531
52,0.00255295,0.00235485,0.00404456
53,0.00262391,0.00235954,0.00377119
54,0.00272699,0.00257112,0.00336765
55,0.0028165,0.00277037,0.00294741
56,0.00289687,0.00282162,0.00262171
57,0.00295127,0.00270238,0.00245531
58,0.00293259,0.00247197,0.00243013
59,0.00280341,0.00223068,0.00246622
60,0.00257612,0.00206469,0.00248102
61,0.0023262,0.00198994,0.00242462
62,0.00216337,0.00195316,0.00228606
63,0.00214726,0.00189334,0.0020909
64,0.00222012,0.00178893,0.001897
65,0.00226054,0.00166212,0.00177914
66,0.00217263,0.00155725,0.00178688
67,0.0019172,0.00150702,0.00190123
68,0.00150676,0.00150722,0.00205226
69,0.000995175,0.00152518,0.0021708
70,0.00049907,0.00152946,0.00221432
71,0.000446948,0.00150846,0.00216913
72,0.000841298,0.00147077,0.00204552
73,0.0012098,0.00143458,0.00187167
74,0.0014668,0.00141394,0.00168644
75,0.0016063,0.00140958,0.00152888
76,0.00165008,0.00141062,0.00142391
77,0.00163446,0.00140401,0.0013711
78,0.00159741,0.00138276,0.00134902
79,0.00156498,0.00134828,0.0013332
80,0.00154252,0.00130723,0.00131089
81,0.0015173,0.00126608,0.00128473
82,0.00146961,0.00122694,0.0012678
83,0.00138312,0.00118718,0.0012737
84,0.00124975,0.00114271,0.00130642
85,0.00107014,0.001092,0.00135659
86,0.000852581,0.00103805,0.00140638
87,0.000613212,0.000987272,0.00143755
88,0.000384449,0.000946036,0.00143702
89,0.000264214,0.000916981,0.00139914
90,0.000369184,0.000897709,0.00132557
91,0.000558273,0.000882782,0.00122407
92,0.000736371,0.00086714,0.00110654
93,0.000878875,0.000848384,0.000986804
94,0.000979536,0.000826936,0.00087813
95,0.00104004,0.000804687,0.00079077
96,0.00106645,0.000783336,0.000730279
97,0.00106624,0.000763468,0.000697541
98,0.00104547,0.000744755,0.000690633
99,0.00100689,0.000726838,0.00070678
100,0.000949673,0.000710044,0.000742657
101,0.000870961,0.000695422,0.000793414
102,0.000768159,0.000684116,0.000852127
103,0.000641062,0.000676615,0.00091046
104,0.000493318,0.000672443,0.000960057
105,0.00033423,0.000670476,0.000993897
106,0.000189125,0.000669591,0.00100722
107,0.000157899,0.000669157,0.000998005
108,0.000275698,0.000669086,0.000966962
109,0.000418237,0.000669515,0.000917297
110,0.000548768,0.000670392,0.000854204
111,0.000657961,0.000671239,0.000784257
112,0.00074257,0.000671206,0.000714768
113,0.000801911,0.000669333,0.000653096
114,0.000836619,0.000664806,0.000605797
115,0.000847904,0.000657099,0.000577494
116,0.000837106,0.000645961,0.000569709
117,0.000805504,0.000631325,0.000580426
118,0.000754358,0.000613248,0.000604908
119,0.000685094,0.000591912,0.000637197
120,0.000599541,0.000567706,0.000671333
121,0.000500168,0.000541299,0.000701996
122,0.000390319,0.000513662,0.000724777
123,0.000274729,0.000485985,0.000736317
124,0.000162237,0.000459493,0.000734402
125,8.8988e-05,0.000435232,0.000718021
126,0.000138429,0.000413869,0.000687358
127,0.000234776,0.000395616,0.000643737
128,0.00032864,0.000380268,0.000589522
129,0.000410558,0.000367358,0.00052805
130,0.000476996,0.000356329,0.000463649
131,0.000526222,0.000346686,0.00040183
132,0.00055752,0.000338079,0.000349545
133,0.000570879,0.000330333,0.000314783
134,0.000566799,0.000323441,0.000303861
135,0.000546165,0.000317531,0.000316927
136,0.000510172,0.000312803,0.000347327
137,0.000460312,0.000309468,0.000386202
138,0.000398417,0.000307672,0.00042619
139,0.000326751,0.000307447,0.000462149
140,0.000248236,0.000308684,0.000490684
141,0.000167311,0.000311154,0.000509662
142,9.51344e-05,0.000314531,0.000517926
143,7.77773e-05,0.000318442,0.000515137
144,0.00013495,0.000322493,0.000501706
145,0.000207133,0.000326294,0.000478742
146,0.000275826,0.000329466,0.000448024
147,0.000336004,0.000331656,0.000411995
148,0.000385234,0.000332548,0.00037378
149,0.000422093,0.000331868,0.0003372
150,0.000445805,0.000329405,0.000306638
151,0.000456116,0.000325017,0.00028641
152,0.00045321,0.000318644,0.000279358
153,0.000437658,0.00031031,0.000285344
154,0.000410362,0.000300133,0.00030121
155,0.000372522,0.00028832,0.000322391
156,0.000325603,0.000275171,0.000344538
157,0.000271321,0.000261064,0.000364225
158,0.000211654,0.000246443,0.000379008
159,0.000149007,0.000231787,0.000387278
160,8.72121e-05,0.000217579,0.000388103
161,4.194e-05,0.000204258,0.000381121
162,6.60308e-05,0.000192176,0.000366468
163,0.00011895,0.000181559,0.000344731
164,0.00017064,0.000172484,0.000316934
165,0.000216336,0.000164887,0.000284548
166,0.000254176,0.000158593,0.00024957
167,0.000283071,0.000153373,0.000214706
168,0.000302382,0.000149002,0.000183658
169,0.000311839,0.000145312,0.000161247
170,0.000311498,0.000142218,0.00015221
171,0.000301719,0.000139721,0.000157922
172,0.000283134,0.000137894,0.000174761
173,0.000256621,0.000136847,0.000197076
174,0.000223286,0.00013668,0.000220198
175,0.000184449,0.000137446,0.000241027
176,0.000141688,0.000139119,0.000257645
177,9.70991e-05,0.000141588,0.00026892
178,5.4981e-05,0.000144663,0.000274275
179,3.53903e-05,0.000148096,0.000273562
180,6.27914e-05,0.000151612,0.000266992
181,0.000102005,0.000154931,0.000255109
182,0.00013981,0.000157791,0.000238774
183,0.000173282,0.000159957,0.000219181
184,0.000201067,0.000161237,0.000197896
185,0.000222332,0.00016148,0.000176919
186,0.000236569,0.000160588,0.000158701
187,0.000243544,0.00015851,0.000145926
188,0.000243268,0.000155247,0.000140717
189,0.000235981,0.000150849,0.000143474
190,0.000222131,0.000145417,0.000152514
191,0.000202352,0.000139096,0.000165062
192,0.000177443,0.000132073,0.000178435
193,0.000148343,0.000124572,0.000190564
194,0.000116123,0.000116841,0.000200014
195,8.20347e-05,0.000109143,0.000205863
196,4.78793e-05,0.000101739,0.000207591
197,2.05673e-05,9.48672e-05,0.000204997
198,3.2573e-05,8.87193e-05,0.000198149
199,6.21511e-05,8.34182e-05,0.000187355
200,9.08853e-05,7.90012e-05,0.000173149
201,0.000116368,7.54182e-05,0.000156301
202,0.00013764,7.25478e-05,0.000137851
203,0.000154109,7.02291e-05,0.000119204
204,0.000165403,6.82998e-05,0.000102278
205,0.000171342,6.66297e-05,8.95881e-05
206,0.000171923,6.51423e-05,8.37384e-05
207,0.000167307,6.38237e-05,8.5794e-05
208,0.000157813,6.27171e-05,9.41563e-05
209,0.000143897,6.1907e-05,0.000105858
210,0.000126142,6.14941e-05,0.000118286
211,0.000105242,6.15661e-05,0.000129657
212,8.20065e-05,6.21693e-05,0.000138852
213,5.74131e-05,6.32913e-05,0.000145208
214,3.30537e-05,6.48565e-05,0.000148373
215,1.59792e-05,6.6737e-05,0.000148236
216,2.75329e-05,6.87714e-05,0.000144884
217,4.9191e-05,7.0786e-05,0.000138581
218,7.02561e-05,7.26123e-05,0.000129762
219,8.90053e-05,7.40994e-05,0.000119034
220,0.000104706,7.51229e-05,0.000107204
221,0.000116901,7.55882e-05,9.53197e-05
222,0.000125304,7.54333e-05,8.47046e-05
223,0.000129768,7.46285e-05,7.68951e-05
224,0.00013028,7.31762e-05,7.32544e-05
225,0.000126948,7.11093e-05,7.42472e-05
226,0.000119998,6.84894e-05,7.9055e-05
227,0.000109758,6.54043e-05,8.60936e-05
228,9.66474e-05,6.1965e-05,9.37843e-05
229,8.11648e-05,5.83021e-05,0.000100911
230,6.38777e-05,5.45599e-05,0.000106636
231,4.54343e-05,5.08894e-05,0.000110428
232,2.66969e-05,4.74387e-05,0.000111982
233,1.05434e-05,4.43386e-05,0.000111174
234,1.59091e-05,4.16874e-05,0.000108029
235,3.23555e-05,3.95347e-05,0.000102707
236,4.82903e-05,3.78721e-05,9.54895e-05
237,6.24669e-05,3.66356e-05,8.67849e-05
238,7.43807e-05,3.57209e-05,7.71465e-05
239,8.37078e-05,3.50074e-05,6.73142e-05
240,9.02384e-05,3.43825e-05,5.82807e-05
241,9.38627e-05,3.37601e-05,5.13249e-05
242,9.45659e-05,3.30913e-05,4.77811e-05
243,9.24236e-05,3.23679e-05,4.83029e-05
244,8.75957e-05,3.16199e-05,5.2252e-05
245,8.03192e-05,3.0909e-05,5.81768e-05
246,7.08996e-05,3.03167e-05,6.46795e-05
247,5.97016e-05,2.99286e-05,7.07544e-05
248,4.71444e-05,2.98159e-05,7.57514e-05
249,3.37129e-05,3.00169e-05,7.92732e-05
250,2.00708e-05,3.05265e-05,8.11016e-05
251,8.4289e-06,3.12957e-05,8.11538e-05
252,1.18747e-05,3.22421e-05,7.94579e-05
253,2.379e-05,3.32647e-05,7.61401e-05
254,3.55113e-05,3.42589e-05,7.14187e-05
255,4.59966e-05,3.51281e-05,6.5606e-05
256,5.48465e-05,3.57904e-05,5.91196e-05
257,6.18102e-05,3.61826e-05,5.25047e-05
258,6.67249e-05,3.62618e-05,4.64601e-05
259,6.95031e-05,3.60056e-05,4.18237e-05
260,7.01281e-05,3.5411e-05,3.93985e-05
261,6.86504e-05,3.44942e-05,3.95567e-05
262,6.51832e-05,3.32884e-05,4.19473e-05
263,5.98968e-05,3.18429e-05,4.57182e-05
264,5.3012e-05,3.02208e-05,4.99714e-05
265,4.4793e-05,2.84967e-05,5.40024e-05
266,3.55419e-05,2.6753e-05,5.73249e-05
267,2.56004e-05,2.50755e-05,5.96274e-05
268,1.54001e-05,2.3546e-05,6.07291e-05
269,6.11974e-06,2.22327e-05,6.05514e-05
270,7.61569e-06,2.11803e-05,5.90993e-05
271,1.6583e-05,2.04006e-05,5.64513e-05
272,2.53675e-05,1.98696e-05,5.2754e-05
273,3.32279e-05,1.95339e-05,4.82228e-05
274,3.98831e-05,1.93224e-05,4.31502e-05
275,4.51512e-05,1.91613e-05,3.7925e-05
276,4.89117e-05,1.89868e-05,3.30626e-05
277,5.10978e-05,1.87528e-05,2.92196e-05
278,5.16947e-05,1.84345e-05,2.70904e-05
