Iter,dP,du,dv
1,0.369386,0.140811,0.130717
2,0.281333,0.115155,0.084309
3,0.180174,0.140612,0.107035
4,0.107175,0.141335,0.112918
5,0.0770358,0.127591,0.101773
6,0.0874784,0.103953,0.0809625
7,0.105509,0.072221,0.0553554
8,0.109371,0.0400576,0.0336411
9,0.0950701,0.0273367,0.028187
10,0.0689009,0.0355767,0.0338019
11,0.039801,0.0404054,0.0370791
12,0.017216,0.0376794,0.0348932
13,0.0183994,0.0297109,0.0281655
14,0.0279096,0.0198141,0.019093
15,0.0313196,0.0118927,0.0103088
16,0.0286334,0.010199,0.005476
17,0.0220607,0.0124633,0.00716245
18,0.0141796,0.013842,0.00920936
19,0.00789907,0.0132568,0.00948744
20,0.0069662,0.0110936,0.00825578
21,0.00915808,0.00818104,0.00620742
22,0.0102811,0.00555566,0.00417435
23,0.00965357,0.0043059,0.00310499
24,0.0076969,0.00444464,0.00329679
25,0.00514387,0.00472543,0.00376989
26,0.00292988,0.00448039,0.00389355
27,0.00240982,0.00369047,0.00359461
28,0.00321378,0.00260701,0.00300907
29,0.0037701,0.0016511,0.00232889
30,0.00372546,0.00144216,0.00172681
31,0.00317518,0.00188596,0.00130137
32,0.00233614,0.00230516,0.00103807
33,0.00146474,0.00247159,0.000851334
34,0.000896312,0.00237824,0.000696343
35,0.000949721,0.00208734,0.000615004
36,0.00123302,0.00168187,0.00065918
37,0.00140338,0.00124526,0.000779809
38,0.0014135,0.000858145,0.000891834
39,0.00129731,0.000611164,0.000948516
40,0.00110594,0.000573798,0.000938404
41,0.000887569,0.000666931,0.000871564
42,0.000682095,0.000768374,0.000769685
43,0.000524484,0.000828004,0.000658519
44,0.000445998,0.000836033,0.0005612
45,0.000450053,0.000798578,0.000491612
46,0.000496591,0.00072975,0.00045001
47,0.000541432,0.000648473,0.000426364
48,0.000559625,0.000575129,0.000409799
49,0.000541767,0.000525301,0.000394732
50,0.000488822,0.000501799,0.000380667
51,0.000409399,0.000493471,0.000369151
52,0.000318529,0.000484395,0.000361009
53,0.00023821,0.000463275,0.000355209
54,0.000196356,0.000426562,0.000349378
55,0.000203057,0.000377705,0.000341005
56,0.000230492,0.000325471,0.000328404
57,0.000250456,0.000281791,0.000311104
58,0.000251372,0.000257286,0.000289834
59,0.000231856,0.00025389,0.000266294
60,0.000195886,0.000262839,0.00024281
61,0.000150751,0.000272515,0.000221854
62,0.000107057,0.000275223,0.000205391
63,8.09451e-05,0.000268215,0.000194198
64,8.48911e-05,0.000252477,0.000187559
65,0.000104316,0.000231375,0.000183677
66,0.000121261,0.000209422,0.000180542
67,0.000128937,0.000190914,0.000176652
68,0.000126268,0.000178375,0.000171298
69,0.000114798,0.000171512,0.000164499
70,9.75571e-05,0.000167772,0.000156749
71,7.85818e-05,0.000164122,0.000148714
72,6.26795e-05,0.000158509,0.000140961
73,5.43194e-05,0.000150334,0.000133783
74,5.40254e-05,0.000140247,0.000127175
75,5.72918e-05,0.000129666,0.000120939
76,5.94759e-05,0.00012018,0.000114848
77,5.83508e-05,0.000112914,0.000108782
78,5.35849e-05,0.000108075,0.000102788
79,4.60018e-05,0.000104964,9.70447e-05
80,3.72021e-05,0.000102461,9.17816e-05
81,2.94638e-05,9.95937e-05,8.71671e-05
82,2.5407e-05,9.58644e-05,8.32359e-05
83,2.59747e-05,9.12833e-05,7.98756e-05
84,2.89763e-05,8.62286e-05,7.68789e-05
85,3.17915e-05,8.12274e-05,7.40251e-05
86,3.30853e-05,7.67299e-05,7.11518e-05
87,3.25235e-05,7.29424e-05,6.81886e-05
88,3.03494e-05,6.97845e-05,6.51517e-05
89,2.71405e-05,6.69795e-05,6.21108e-05
90,2.365e-05,6.42152e-05,5.91474e-05
91,2.06429e-05,6.12816e-05,5.63195e-05
92,1.8647e-05,5.81333e-05,5.36453e-05
93,1.76823e-05,5.48764e-05,5.11065e-05
94,1.72836e-05,5.17037e-05,4.86677e-05
95,1.68749e-05,4.88099e-05,4.62982e-05
96,1.60858e-05,4.63143e-05,4.39882e-05
97,1.48263e-05,4.42221e-05,4.17526e-05
98,1.32381e-05,4.24376e-05,3.96233e-05
99,1.16222e-05,4.08167e-05,3.76347e-05
