Iter,dP,du,dv
1,0.489981,0.129941,0.116798
2,0.310296,0.153977,0.110381
3,0.153973,0.165341,0.125393
4,0.0811652,0.144001,0.111304
5,0.114078,0.105956,0.0801338
6,0.1401,0.0609499,0.0468569
7,0.129223,0.0306504,0.0293616
8,0.0927121,0.0349662,0.03307
9,0.0492718,0.0408178,0.0363582
10,0.0180382,0.0365283,0.0323913
11,0.0244764,0.0259327,0.0233683
12,0.0334108,0.014659,0.0132522
13,0.0320646,0.00915374,0.00648936
14,0.0238345,0.0108937,0.00684625
15,0.0135113,0.0123025,0.0084422
16,0.00645909,0.0112936,0.00819175
17,0.00765653,0.00869711,0.00659418
18,0.00971,0.0059306,0.00473744
19,0.00930387,0.0043563,0.00364072
20,0.00703996,0.00415985,0.00349465
21,0.00413905,0.00414396,0.00354146
22,0.00209298,0.00368244,0.00331
23,0.00236624,0.00289191,0.00281154
24,0.00305104,0.00217717,0.00223159
25,0.0030673,0.00192169,0.00174424
26,0.00251227,0.00204573,0.00141957
27,0.0016915,0.00217974,0.00122045
28,0.000944976,0.0021491,0.00109041
29,0.000691233,0.00195469,0.00101481
30,0.000895195,0.00166503,0.000993939
31,0.00106075,0.00136248,0.00100458
32,0.00107296,0.00111879,0.00100975
33,0.000959694,0.000975522,0.000985698
34,0.000771794,0.000923914,0.00092992
35,0.000559941,0.000916438,0.000854381
36,0.000379232,0.000908226,0.000775471
37,0.000301215,0.000878144,0.000705972
38,0.00033927,0.000825652,0.00065124
39,0.000402453,0.000761757,0.000610158
40,0.000432571,0.000700266,0.000578807
41,0.000416235,0.000650257,0.000553565
42,0.00036026,0.000612176,0.000532053
43,0.000282127,0.000579962,0.000512693
44,0.000206827,0.000546954,0.000494157
45,0.000164135,0.000510394,0.00047524
46,0.000165129,0.000472245,0.000455088
47,0.000182173,0.000437167,0.000433441
48,0.000189303,0.000409304,0.000410707
49,0.000178944,0.000389668,0.00038781
50,0.000154174,0.000375803,0.00036587
51,0.000123596,0.000363756,0.000345829
52,9.89766e-05,0.00035045,0.000328157
53,9.03439e-05,0.000334822,0.000312764
54,9.54459e-05,0.000317609,0.000299136
55,0.000103007,0.000300407,0.00028661
56,0.000105544,0.000284632,0.000274629
57,0.000101266,0.000270861,0.000262878
58,9.17671e-05,0.000258785,0.000251279
59,8.02814e-05,0.000247645,0.0002399
60,7.02992e-05,0.000236786,0.00022885
61,6.40113e-05,0.000225963,0.000218208
62,6.11156e-05,0.000215334,0.000208007
63,5.95303e-05,0.000205235,0.000198255
64,5.73505e-05,0.000195929,0.000188957
65,5.38942e-05,0.000187461,0.000180132
66,4.96099e-05,0.000179668,0.000171802
67,4.55337e-05,0.000172302,0.000163975
68,4.26148e-05,0.000165161,0.000156634
69,4.11262e-05,0.00015816,0.00014973
70,4.05697e-05,0.000151321,0.000143199
71,4.01492e-05,0.000144712,0.000136974
72,3.92845e-05,0.00013839,0.000131006
73,3.77985e-05,0.000132366,0.000125264
74,3.58413e-05,0.000126612,0.000119733
75,3.37147e-05,0.000121084,0.000114411
76,3.16963e-05,0.000115753,0.000109297
77,2.99254e-05,0.000110617,0.00010439
78,2.83885e-05,0.000105692,9.96871e-05
79,2.69909e-05,0.000101001,9.51869e-05
80,2.56489e-05,9.65507e-05,9.08877e-05
81,2.43433e-05,9.23333e-05,8.67883e-05
82,2.31146e-05,8.83251e-05,8.28862e-05
83,2.20215e-05,8.44978e-05,7.91759e-05
84,2.10949e-05,8.08273e-05,7.56483e-05
85,2.03155e-05,7.72987e-05,7.2291e-05
86,1.96245e-05,7.39049e-05,6.90901e-05
87,1.89547e-05,7.06438e-05,6.60319e-05
88,1.8258e-05,6.75141e-05,6.31049e-05
89,1.75181e-05,6.4513e-05,6.03001e-05
