Iter,dP,du,dv
144,1.94011e-06,6.56691e-06,6.03632e-06
145,1.88146e-06,6.25392e-06,5.78115e-06
146,1.87569e-06,5.93516e-06,5.52932e-06
147,1.8845e-06,5.62119e-06,5.27944e-06
148,1.87446e-06,5.32278e-06,5.03127e-06
149,1.82569e-06,5.04772e-06,4.78561e-06
150,1.73242e-06,4.79891e-06,4.54417e-06
151,1.60025e-06,4.57424e-06,4.30914e-06
152,1.44311e-06,4.36796e-06,4.08285e-06
153,1.28027e-06,4.17306e-06,3.86736e-06
154,1.13296e-06,3.98356e-06,3.66421e-06
155,1.01962e-06,3.796e-06,3.47424e-06
156,9.49207e-07,3.61001e-06,3.29762e-06
157,9.1672e-07,3.42771e-06,3.13394e-06
158,9.06369e-07,3.25265e-06,2.98238e-06
159,9.0052e-07,3.08842e-06,2.84186e-06
160,8.86605e-07,2.93739e-06,2.71124e-06
161,8.59111e-07,2.80006e-06,2.58938e-06
162,8.18653e-07,2.67494e-06,2.47517e-06
163,7.70104e-07,2.5592e-06,2.36758e-06
164,7.20491e-07,2.44953e-06,2.26561e-06
165,6.76733e-07,2.34307e-06,2.16835e-06
166,6.43377e-07,2.23801e-06,2.07494e-06
167,6.21056e-07,2.13383e-06,1.98465e-06
168,6.06603e-07,2.03111e-06,1.89688e-06
169,5.94803e-07,1.9311e-06,1.81126e-06
170,5.80583e-07,1.83525e-06,1.72758e-06
171,5.60509e-07,1.74466e-06,1.64585e-06
172,5.33312e-07,1.65985e-06,1.56624e-06
173,4.99761e-07,1.58063e-06,1.48904e-06
174,4.62185e-07,1.50632e-06,1.4146e-06
175,4.23839e-07,1.43596e-06,1.34325e-06
176,3.8815e-07,1.36866e-06,1.2753e-06
177,3.57898e-07,1.30381e-06,1.21096e-06
178,3.34462e-07,1.24123e-06,1.15033e-06
179,3.17467e-07,1.18104e-06,1.09342e-06
180,3.05122e-07,1.1236e-06,1.04014e-06
181,2.95087e-07,1.06929e-06,9.9031e-07
182,2.8535e-07,1.01835e-06,9.43703e-07
183,2.74738e-07,9.70771e-07,9.00051e-07
