Iter,dP,du,dv
1,0.367139,0.171361,0.265176
2,0.296738,0.0939315,0.105928
3,0.2264,0.110866,0.12016
4,0.166117,0.130766,0.108577
5,0.115633,0.136669,0.106383
6,0.0878819,0.127526,0.0990732
7,0.0821835,0.112783,0.0867628
8,0.0878297,0.0926058,0.0711035
9,0.0953316,0.0658911,0.0534155
10,0.0955733,0.038223,0.038396
11,0.0846895,0.0279029,0.0319952
12,0.0659496,0.0366662,0.0333143
13,0.0445918,0.0431659,0.0359778
14,0.0256537,0.0429679,0.036173
15,0.0166498,0.0376228,0.0330788
16,0.020926,0.0295206,0.0273892
17,0.0267687,0.0209248,0.0204465
18,0.0292773,0.0139557,0.0138618
19,0.0282152,0.0109188,0.00951333
20,0.024437,0.0119523,0.00870711
21,0.0191654,0.0138954,0.00972607
22,0.0138198,0.0148264,0.0103517
23,0.010016,0.0143677,0.00991845
24,0.00893554,0.0127939,0.00856268
25,0.00956387,0.0106653,0.00676518
26,0.0100666,0.00862799,0.00520987
27,0.00972688,0.00718337,0.00457
28,0.00864125,0.00639325,0.00481597
29,0.00727631,0.00587651,0.00523779
30,0.00621209,0.00523601,0.00533992
31,0.00580115,0.00434736,0.00499373
32,0.00584636,0.00337112,0.00427832
33,0.00586786,0.00271549,0.00337793
34,0.0055465,0.00277089,0.00252991
35,0.00480609,0.00330456,0.00197898
36,0.00373801,0.00382985,0.00182295
37,0.00254476,0.00409549,0.00186749
38,0.00159135,0.00403122,0.00187096
39,0.0015061,0.00366013,0.00173403
40,0.00209627,0.00305596,0.00146321
41,0.00266367,0.00232225,0.00112161
42,0.00297932,0.00159087,0.000817279
43,0.00300582,0.00106468,0.000701455
44,0.00277237,0.00101127,0.000811276
45,0.00234026,0.00129602,0.000992156
46,0.00178781,0.00158585,0.00113228
47,0.00120669,0.00175484,0.00119518
48,0.000731295,0.00177903,0.00117885
49,0.000620116,0.00167167,0.0010968
50,0.000862857,0.00146359,0.000969368
51,0.00113441,0.00119601,0.000818505
52,0.00131785,0.000919508,0.000664395
53,0.0013916,0.000699827,0.000523606
54,0.00136181,0.000612226,0.000408581
55,0.00124634,0.000665573,0.000327849
56,0.00106916,0.00077596,0.000284965
57,0.000858228,0.000871734,0.000275304
58,0.000646687,0.000921319,0.000286749
59,0.000479673,0.000915326,0.000306479
60,0.000414871,0.000855564,0.000325293
61,0.000461014,0.000750338,0.000337639
62,0.000550693,0.000612321,0.000340756
63,0.000629021,0.000458051,0.000334141
64,0.00067307,0.00031086,0.000319158
65,0.000676345,0.000214438,0.00029857
66,0.000640758,0.000224973,0.000275861
67,0.000573546,0.000301357,0.000254383
68,0.000486066,0.00037711,0.000236429
69,0.000393753,0.000428151,0.000222602
70,0.00031696,0.000448092,0.000211887
71,0.000278247,0.000437423,0.000202446
72,0.000284991,0.000400475,0.000192592
73,0.000317675,0.00034425,0.000181398
74,0.000351836,0.000277992,0.000168842
75,0.000373307,0.000213682,0.000155632
76,0.000376713,0.000167382,0.000142882
77,0.000362035,0.000154596,0.00013172
78,0.000332668,0.000171079,0.000122895
79,0.000294418,0.000196148,0.000116514
80,0.000254917,0.000215092,0.000112035
81,0.000222793,0.000221822,0.000108552
82,0.000205231,0.000215055,0.00010516
83,0.000203614,0.000196169,0.000101228
84,0.000212272,0.000168243,9.64928e-05
85,0.000223186,0.000135704,9.10358e-05
86,0.000230432,0.000104569,8.51977e-05
87,0.000231148,8.30879e-05,7.94645e-05
88,0.00022495,7.87727e-05,7.43359e-05
89,0.000213212,8.85708e-05,7.01884e-05
90,0.000198468,0.000102103,6.7162e-05
91,0.000183829,0.000112397,6.51226e-05
92,0.000172224,0.0001166,6.37257e-05
93,0.000165455,0.000114137,6.25457e-05
94,0.000163492,0.000105722,6.12023e-05
95,0.00016468,9.29122e-05,5.94362e-05
96,0.000166749,7.79048e-05,5.71342e-05
97,0.000167792,6.35063e-05,5.43183e-05
98,0.000166727,5.30185e-05,5.11162e-05
99,0.000163328,4.9038e-05,4.77237e-05
100,0.000158055,5.09403e-05,4.43629e-05
101,0.000151804,5.5265e-05,4.12376e-05
102,0.00014562,5.88759e-05,3.84936e-05
103,0.000140395,6.01214e-05,3.61907e-05
104,0.00013662,5.84881e-05,3.42983e-05
105,0.000134283,5.4184e-05,3.27193e-05
106,0.000132951,4.78951e-05,3.13315e-05
107,0.000132009,4.06633e-05,3.00284e-05
108,0.000130889,3.38355e-05,2.8746e-05
