Iter,dP,du,dv
1,0.249084,0.169165,0.159418
2,0.22752,0.0921077,0.0727631
3,0.172986,0.104338,0.0768478
4,0.124977,0.118949,0.0930088
5,0.0948764,0.120587,0.0971483
6,0.0803417,0.115337,0.0933894
7,0.0720801,0.106464,0.0859205
8,0.0689132,0.093613,0.0741146
9,0.0717188,0.0751471,0.0579314
10,0.0756399,0.0518847,0.0407146
11,0.0740119,0.0304687,0.0287546
12,0.064834,0.0252101,0.0268778
13,0.0507872,0.0320804,0.0303432
14,0.035276,0.0367617,0.0334198
15,0.0211694,0.0367513,0.03406
16,0.0130921,0.0329276,0.0317895
17,0.0156016,0.0266953,0.0269428
18,0.020882,0.0196885,0.0204325
19,0.0237997,0.0138926,0.0135228
20,0.0237193,0.0113557,0.00778454
21,0.0212487,0.0119678,0.00566524
22,0.0173297,0.0133482,0.00726116
23,0.012936,0.0140541,0.00903374
24,0.00908065,0.0137429,0.00977645
25,0.00695002,0.0124983,0.0094504
26,0.00705541,0.0105783,0.00829833
27,0.00808635,0.00836435,0.00665323
28,0.00877431,0.00637289,0.00489908
29,0.00868865,0.00520775,0.00350892
30,0.00783588,0.00510051,0.00301422
31,0.00642316,0.00549843,0.00337045
32,0.00476964,0.0057547,0.00391746
33,0.00331412,0.00558031,0.00425005
34,0.00266035,0.00494275,0.00425946
35,0.00297807,0.00394315,0.00397279
36,0.00357088,0.00275826,0.00347931
37,0.00394333,0.00166119,0.00289297
38,0.00395635,0.00124007,0.00232548
39,0.00362622,0.00175314,0.00186094
40,0.0030381,0.00240947,0.0015298
41,0.00231043,0.00287078,0.00129989
42,0.00158592,0.00307405,0.0011107
43,0.00106462,0.00303146,0.000925327
44,0.000990429,0.00278576,0.000756119
45,0.00123872,0.00239309,0.000661467
46,0.00149862,0.00191328,0.000691313
47,0.00165291,0.00140478,0.000808298
48,0.00168411,0.00092685,0.00093608
49,0.00160909,0.000564553,0.00102508
50,0.00145751,0.000478552,0.00105405
51,0.00126253,0.000644918,0.00101978
52,0.0010559,0.000843873,0.000930676
53,0.000865676,0.000994834,0.000802748
54,0.000715355,0.00108216,0.000657091
55,0.000621459,0.00110709,0.000518619
56,0.000586986,0.00107674,0.000414786
57,0.000597606,0.00100116,0.000366608
58,0.000630609,0.000892566,0.000368031
59,0.000666364,0.000765562,0.00038884
60,0.000691584,0.000638017,0.000403321
61,0.000698119,0.000531913,0.000400121
62,0.000681676,0.00047015,0.000378006
63,0.000641279,0.000462228,0.000341599
64,0.000579118,0.000491951,0.000299028
