Iter,dP,du,dv
1,0.406325,0.154892,0.143789
2,0.30287,0.137221,0.0994494
3,0.18084,0.163142,0.125626
4,0.107534,0.158193,0.12667
5,0.0946002,0.13735,0.107719
6,0.116613,0.103266,0.0784648
7,0.130769,0.0605563,0.0470815
8,0.119164,0.0329723,0.033286
9,0.0865351,0.0423048,0.0402262
10,0.0477103,0.0498583,0.0453264
11,0.0194229,0.0458936,0.042324
12,0.0269647,0.0342648,0.0325611
13,0.0386082,0.0206083,0.0197443
14,0.0398774,0.0125613,0.0089138
15,0.0327757,0.0146218,0.00800926
16,0.021628,0.0177585,0.0117557
17,0.0113078,0.0177917,0.0128922
18,0.00887695,0.0149629,0.0113438
19,0.0124943,0.0106213,0.00827027
20,0.0142236,0.00665564,0.00519
21,0.0129456,0.00529594,0.00395135
22,0.00955637,0.00607088,0.00466074
23,0.00551097,0.00645976,0.00530732
24,0.00301801,0.00573598,0.00516792
25,0.0040115,0.00417558,0.0043612
26,0.00525598,0.00243551,0.00325811
27,0.00540646,0.00170259,0.00226263
28,0.00457655,0.00241972,0.00165498
29,0.00320058,0.00312137,0.00138659
30,0.00182181,0.00333955,0.00117943
31,0.00121771,0.00310086,0.000924922
32,0.00160671,0.00255467,0.000762539
33,0.00199254,0.00187419,0.000858597
34,0.00207599,0.00121922,0.00107413
35,0.00190693,0.000751169,0.00122486
36,0.00160315,0.000650896,0.00124676
37,0.00127428,0.000813116,0.0011477
38,0.000993035,0.00098457,0.000971207
39,0.000795285,0.00108171,0.000775038
40,0.000696418,0.00109272,0.000614374
41,0.000691646,0.00102785,0.000521126
42,0.000741205,0.000910868,0.000484638
43,0.000789433,0.000777362,0.000469734
44,0.000794929,0.000669111,0.000454087
45,0.000739873,0.000615279,0.00043583
46,0.000628402,0.000607768,0.000421888
47,0.000483293,0.000609972,0.000416463
48,0.000345878,0.000590239,0.000416701
49,0.000277251,0.000536573,0.000415713
50,0.00030181,0.000454772,0.00040739
51,0.000355183,0.000364428,0.000388737
52,0.000384125,0.000296057,0.00035994
53,0.000372716,0.000277484,0.000323685
54,0.000323763,0.000301347,0.000284531
55,0.000249707,0.000333789,0.000248327
56,0.000170323,0.000351086,0.000221018
57,0.000118262,0.000345295,0.000206149
58,0.000126599,0.000318524,0.000202336
59,0.000163952,0.000278925,0.000204111
60,0.00019238,0.000238139,0.00020566
61,0.000200606,0.000208155,0.000203421
62,0.000188482,0.000195333,0.000196476
63,0.000160807,0.000195413,0.000185874
64,0.000125412,0.000198205,0.000173672
65,9.28935e-05,0.000195874,0.000161936
66,7.60098e-05,0.000185655,0.000151898
67,7.89084e-05,0.00016894,0.000143603
68,8.90606e-05,0.000149774,0.000136225
69,9.48701e-05,0.000133218,0.000128794
70,9.22265e-05,0.000123095,0.000120814
71,8.13828e-05,0.000119631,0.00011248
72,6.49599e-05,0.00011959,0.000104506
73,4.73709e-05,0.000119092,9.77109e-05
74,3.53721e-05,0.000115828,9.25601e-05
75,3.52757e-05,0.000109456,8.89062e-05
76,4.2591e-05,0.000101105,8.61072e-05
77,4.92775e-05,9.26277e-05,8.34064e-05
78,5.19582e-05,8.57307e-05,8.02822e-05
79,5.01276e-05,8.11467e-05,7.65913e-05
80,4.46669e-05,7.83409e-05,7.25156e-05
81,3.72599e-05,7.60478e-05,6.83976e-05
82,3.01021e-05,7.31276e-05,6.4549e-05
83,2.54425e-05,6.90793e-05,6.11121e-05
84,2.42054e-05,6.41004e-05,5.80285e-05
85,2.49223e-05,5.88777e-05,5.51182e-05
86,2.54261e-05,5.42426e-05,5.22057e-05
87,2.45138e-05,5.07764e-05,4.92169e-05
88,2.19941e-05,4.85281e-05,4.62069e-05
89,1.83564e-05,4.70505e-05,4.33225e-05
90,1.45825e-05,4.57263e-05,4.07242e-05
91,1.20242e-05,4.41007e-05,3.85078e-05
92,1.16698e-05,4.2025e-05,3.66625e-05
93,1.288e-05,3.9624e-05,3.50853e-05
94,1.42352e-05,3.71693e-05,3.36373e-05
95,1.48863e-05,3.49254e-05,3.22046e-05
96,1.4596e-05,3.30252e-05,3.07329e-05
97,1.34933e-05,3.14298e-05,2.92275e-05
98,1.19168e-05,2.99846e-05,2.77292e-05
99,1.03025e-05,2.85266e-05,2.62827e-05
100,9.05143e-06,2.69694e-05,2.49128e-05
101,8.34358e-06,2.53319e-05,2.36171e-05
102,8.03115e-06,2.37128e-05,2.23751e-05
103,7.79399e-06,2.22337e-05,2.11655e-05
104,7.38486e-06,2.09782e-05,1.99814e-05
105,6.72935e-06,1.99534e-05,1.88348e-05
106,5.91066e-06,1.90957e-05,1.7751e-05
107,5.12179e-06,1.83107e-05,1.67563e-05
108,4.58928e-06,1.75197e-05,1.58652e-05
109,4.43275e-06,1.66877e-05,1.50739e-05
110,4.55571e-06,1.58238e-05,1.43624e-05
111,4.74365e-06,1.49647e-05,1.37032e-05
112,4.82776e-06,1.41493e-05,1.3072e-05
113,4.73718e-06,1.33998e-05,1.24542e-05
114,4.48134e-06,1.27141e-05,1.18458e-05
115,4.11974e-06,1.20723e-05,1.12508e-05
116,3.73231e-06,1.14513e-05,1.06754e-05
117,3.38961e-06,1.08377e-05,1.01237e-05
118,3.12606e-06,1.02332e-05,9.59631e-06
119,2.93027e-06,9.65161e-06,9.091e-06
120,2.76267e-06,9.11063e-06,8.6051e-06
121,2.58623e-06,8.62218e-06,8.13794e-06
122,2.38714e-06,8.18703e-06,7.69166e-06
123,2.17839e-06,7.7952e-06,7.27037e-06
124,1.99084e-06,7.43127e-06,6.87818e-06
125,1.85597e-06,7.08125e-06,6.51711e-06
126,1.78607e-06,6.73718e-06,6.18601e-06
127,1.76543e-06,6.39815e-06,5.88079e-06
128,1.76172e-06,6.06807e-06,5.59586e-06
129,1.74514e-06,5.75204e-06,5.32583e-06
130,1.69946e-06,5.45327e-06,5.06683e-06
131,1.62304e-06,5.17175e-06,4.81693e-06
132,1.52473e-06,4.90491e-06,4.57574e-06
133,1.41799e-06,4.64956e-06,4.34363e-06
134,1.31515e-06,4.40373e-06,4.12099e-06
135,1.22321e-06,4.16753e-06,3.90784e-06
136,1.14259e-06,3.94286e-06,3.70383e-06
137,1.06945e-06,3.73209e-06,3.50863e-06
138,9.99516e-07,3.53674e-06,3.32218e-06
139,9.3125e-07,3.35658e-06,3.14482e-06
140,8.66718e-07,3.18972e-06,2.9772e-06
141,8.10215e-07,3.03332e-06,2.81988e-06
142,7.65574e-07,2.88464e-06,2.67304e-06
143,7.33614e-07,2.74182e-06,2.53628e-06
144,7.11343e-07,2.60413e-06,2.40863e-06
145,6.93403e-07,2.47169e-06,2.28882e-06
