Iter,dP,du,dv
1,0.443583,0.223235,0.233033
2,0.356837,0.187276,0.211561
3,0.229674,0.209327,0.17948
4,0.199504,0.203398,0.167717
5,0.182611,0.180034,0.134635
6,0.180913,0.126508,0.112188
7,0.153083,0.0866217,0.105525
8,0.118054,0.0914292,0.0951742
9,0.0935082,0.0890079,0.0766176
10,0.080638,0.0784288,0.0626443
11,0.0775509,0.0636616,0.0511499
12,0.0723891,0.050373,0.0457091
13,0.0598324,0.0406053,0.0462755
14,0.0424112,0.0390794,0.0468918
15,0.0325928,0.0388925,0.0437255
16,0.0353482,0.0346597,0.0376809
17,0.0379806,0.0288901,0.0310399
18,0.0344907,0.0260797,0.0256731
19,0.0267788,0.0256383,0.0224203
20,0.0199529,0.0238023,0.0205527
21,0.0187423,0.0192032,0.0186524
22,0.0202902,0.0134425,0.0162925
23,0.0195233,0.0104006,0.0141719
24,0.0157097,0.0115565,0.0128587
25,0.0115742,0.0127656,0.0119667
26,0.0110944,0.0117321,0.0109182
27,0.0130505,0.00881448,0.0097865
28,0.0135627,0.00607227,0.00908152
29,0.0114756,0.00621583,0.00895166
30,0.00757548,0.00786036,0.0089408
31,0.00408181,0.0086305,0.00859472
32,0.00476023,0.00814573,0.00784448
33,0.0070299,0.00699767,0.00691632
34,0.00816865,0.00609287,0.0061045
35,0.00799914,0.00592031,0.00559643
36,0.00698133,0.0061037,0.00541738
37,0.00574172,0.00608139,0.00546486
38,0.00485249,0.00565665,0.00556677
39,0.00458172,0.00494559,0.00554949
40,0.00472017,0.00421876,0.0053081
41,0.00487721,0.00374541,0.00485297
42,0.00480475,0.00359886,0.00431864
43,0.00443016,0.00360543,0.00391642
44,0.00381133,0.00355173,0.00379486
45,0.00310737,0.0033477,0.00389551
46,0.00254527,0.00304161,0.00402212
47,0.00231146,0.00277503,0.00401764
48,0.00237558,0.00268256,0.00383234
49,0.00255585,0.00276125,0.00350589
50,0.00273367,0.00287888,0.00312817
51,0.00287351,0.00291041,0.00279847
52,0.00295483,0.0028137,0.00258421
53,0.00294555,0.00262416,0.00249052
54,0.00282382,0.00241575,0.00246804
55,0.00260753,0.00224991,0.00245473
56,0.00236018,0.00213805,0.00241073
57,0.0021598,0.0020501,0.00232989
58,0.0020391,0.00195655,0.00223583
59,0.00195287,0.00185649,0.0021673
60,0.00181974,0.00177265,0.00215366
61,0.00158511,0.00172658,0.00219268
62,0.0012505,0.00171751,0.00225068
63,0.000887466,0.00172461,0.00228399
64,0.000684395,0.00172599,0.00226002
65,0.000829372,0.00171276,0.00216692
66,0.00114097,0.00168945,0.0020141
67,0.00142896,0.00166543,0.00182801
68,0.00163012,0.00164573,0.00164467
69,0.00173505,0.00162767,0.00149886
70,0.00175831,0.00160436,0.00141058
71,0.00172358,0.00157055,0.00137716
72,0.00165278,0.00152585,0.00137989
73,0.00155906,0.00147384,0.00139941
74,0.00144533,0.00141882,0.00142497
75,0.00130799,0.00136299,0.00145369
76,0.00114272,0.00130623,0.00148469
77,0.000949617,0.001248,0.001514
78,0.000737352,0.00118956,0.00153322
79,0.000530749,0.00113446,0.00153179
80,0.000393954,0.00108691,0.00150062
81,0.00042325,0.00104929,0.0014351
82,0.000580738,0.0010207,0.00133663
83,0.000764797,0.000997707,0.00121272
84,0.000927859,0.00097641,0.00107631
85,0.00105084,0.000954327,0.000944411
86,0.00112668,0.000930861,0.000836003
87,0.00115535,0.000906688,0.000767796
88,0.00114113,0.000882829,0.000747456
89,0.00109041,0.000860128,0.000769442
90,0.0010096,0.000839259,0.00081946
91,0.000903947,0.00082096,0.000882576
92,0.000777408,0.000806066,0.00094711
93,0.000633877,0.000795205,0.0010045
94,0.000479785,0.000788416,0.00104822
95,0.00033042,0.000785015,0.00107325
96,0.000231648,0.000783828,0.00107617
97,0.000263536,0.000783611,0.0010556
98,0.000387908,0.000783365,0.00101253
99,0.000528394,0.000782386,0.000950563
100,0.000656011,0.000780124,0.000875888
