I:	 6 J:	 7 P:	  0.07102 U:	 -0.79906 V:	 -0.27534
I:	 6 J:	 8 P:	  0.11062 U:	 -0.98769 V:	 -0.21851
I:	 6 J:	 9 P:	  0.13938 U:	 -0.79906 V:	 -0.14029
I:	 6 J:	10 P:	  0.15451 U:	 -0.30521 V:	-0.048341
I:	 6 J:	11 P:	  0.15451 U:	  0.30521 V:	 0.048341

I:	 7 J:	 0 P:	  -0.4484 U:	 -0.27534 V:	  0.12656
I:	 7 J:	 1 P:	  -0.4484 U:	  0.27534 V:	 -0.12656
I:	 7 J:	 2 P:	 -0.40451 U:	  0.72084 V:	 -0.36729
I:	 7 J:	 3 P:	 -0.32102 U:	  0.89101 V:	 -0.57206
I:	 7 J:	 4 P:	 -0.20611 U:	  0.72084 V:	 -0.72084
I:	 7 J:	 5 P:	 -0.07102 U:	  0.27534 V:	 -0.79906
I:	 7 J:	 6 P:	  0.07102 U:	 -0.27534 V:	 -0.79906
I:	 7 J:	 7 P:	  0.20611 U:	 -0.72084 V:	 -0.72084
I:	 7 J:	 8 P:	  0.32102 U:	 -0.89101 V:	 -0.57206
I:	 7 J:	 9 P:	  0.40451 U:	 -0.72084 V:	 -0.36729
I:	 7 J:	10 P:	   0.4484 U:	 -0.27534 V:	 -0.12656
I:	 7 J:	11 P:	   0.4484 U:	  0.27534 V:	  0.12656

I:	 8 J:	 0 P:	  -0.6984 U:	 -0.21851 V:	  0.15643
I:	 8 J:	 1 P:	  -0.6984 U:	  0.21851 V:	 -0.15643
I:	 8 J:	 2 P:	 -0.63004 U:	  0.57206 V:	 -0.45399
I:	 8 J:	 3 P:	     -0.5 U:	  0.70711 V:	 -0.70711
I:	 8 J:	 4 P:	 -0.32102 U:	  0.57206 V:	 -0.89101
I:	 8 J:	 5 P:	 -0.11062 U:	  0.21851 V:	 -0.98769
I:	 8 J:	 6 P:	  0.11062 U:	 -0.21851 V:	 -0.98769
I:	 8 J:	 7 P:	  0.32102 U:	 -0.57206 V:	 -0.89101
I:	 8 J:	 8 P:	      0.5 U:	 -0.70711 V:	 -0.70711
I:	 8 J:	 9 P:	  0.63004 U:	 -0.57206 V:	 -0.45399
I:	 8 J:	10 P:	   0.6984 U:	 -0.21851 V:	 -0.15643
I:	 8 J:	11 P:	   0.6984 U:	  0.21851 V:	  0.15643

I:	 9 J:	 0 P:	 -0.88004 U:	 -0.14029 V:	  0.12656
I:	 9 J:	 1 P:	 -0.88004 U:	  0.14029 V:	 -0.12656
I:	 9 J:	 2 P:	 -0.79389 U:	  0.36729 V:	 -0.36729
I:	 9 J:	 3 P:	 -0.63004 U:	  0.45399 V:	 -0.57206
I:	 9 J:	 4 P:	 -0.40451 U:	  0.36729 V:	 -0.72084
I:	 9 J:	 5 P:	 -0.13938 U:	  0.14029 V:	 -0.79906
I:	 9 J:	 6 P:	  0.13938 U:	 -0.14029 V:	 -0.79906
I:	 9 J:	 7 P:	  0.40451 U:	 -0.36729 V:	 -0.72084
I:	 9 J:	 8 P:	  0.63004 U:	 -0.45399 V:	 -0.57206
I:	 9 J:	 9 P:	  0.79389 U:	 -0.36729 V:	 -0.36729
I:	 9 J:	10 P:	  0.88004 U:	 -0.14029 V:	 -0.12656
I:	 9 J:	11 P:	  0.88004 U:	  0.14029 V:	  0.12656

I:	10 J:	 0 P:	 -0.97553 U:	-0.048341 V:	 0.048341
I:	10 J:	 1 P:	 -0.97553 U:	 0.048341 V:	-0.048341
I:	10 J:	 2 P:	 -0.88004 U:	  0.12656 V:	 -0.14029
I:	10 J:	 3 P:	  -0.6984 U:	  0.15643 V:	 -0.21851
I:	10 J:	 4 P:	  -0.4484 U:	  0.12656 V:	 -0.27534
I:	10 J:	 5 P:	 -0.15451 U:	 0.048341 V:	 -0.30521
I:	10 J:	 6 P:	  0.15451 U:	-0.048341 V:	 -0.30521
I:	10 J:	 7 P:	   0.4484 U:	 -0.12656 V:	 -0.27534
I:	10 J:	 8 P:	   0.6984 U:	 -0.15643 V:	 -0.21851
I:	10 J:	 9 P:	  0.88004 U:	 -0.12656 V:	 -0.14029
I:	10 J:	10 P:	  0.97553 U:	-0.048341 V:	-0.048341
I:	10 J:	11 P:	  0.97553 U:	 0.048341 V:	 0.048341

I:	11 J:	 0 P:	 -0.97553 U:	 0.048341 V:	-0.048341
I:	11 J:	 1 P:	 -0.97553 U:	-0.048341 V:	 0.048341
I:	11 J:	 2 P:	 -0.88004 U:	 -0.12656 V:	  0.14029
I:	11 J:	 3 P:	  -0.6984 U:	 -0.15643 V:	  0.21851
I:	11 J:	 4 P:	  -0.4484 U:	 -0.12656 V:	  0.27534
I:	11 J:	 5 P:	 -0.15451 U:	-0.048341 V:	  0.30521
I:	11 J:	 6 P:	  0.15451 U:	 0.048341 V:	  0.30521
I:	11 J:	 7 P:	   0.4484 U:	  0.12656 V:	  0.27534
I:	11 J:	 8 P:	   0.6984 U:	  0.15643 V:	  0.21851
I:	11 J:	 9 P:	  0.88004 U:	  0.12656 V:	  0.14029
I:	11 J:	10 P:	  0.97553 U:	 0.048341 V:	 0.048341
I:	11 J:	11 P:	  0.97553 U:	-0.048341 V:	-0.048341

